# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  122       3.373286108972e+03       1.030370681273e+00       4.878245905937e-03      -3.634928390331e+01       8.974182538940e-08       3.067098607398e-04      -1.926018590560e-06 
  123       3.407119531989e+03       1.038532412655e+00       4.961544380623e-03      -3.688377201261e+01       8.920163204490e-08       3.039273106397e-04      -1.917443068180e-06 
  124       3.441019610963e+03       1.046275186451e+00       5.045689357873e-03      -3.740672560647e+01       8.866887583709e-08       3.011921124237e-04      -1.907823540139e-06 
  125       3.474977619812e+03       1.053590582166e+00       5.130687066031e-03      -3.791760966857e+01       8.814292873000e-08       2.985043893677e-04      -1.897407283124e-06 
  126       3.508984082468e+03       1.060470492837e+00       5.216543843605e-03      -3.841588989162e+01       8.762254913455e-08       2.958632179800e-04      -1.886466173619e-06 
  127       3.543028753151e+03       1.066907135446e+00       5.303266140094e-03      -3.890103291237e+01       8.710582769834e-08       2.932665647591e-04      -1.875297638705e-06 
  128       3.577100596654e+03       1.072893061317e+00       5.390860516825e-03      -3.937250654655e+01       8.659013102131e-08       2.907112217402e-04      -1.864225621433e-06 
  129       3.611188902678e+03       1.078421464238e+00       5.479333527457e-03      -3.982978583829e+01       8.607302810559e-08       2.881940947877e-04      -1.853534992632e-06 
  130       3.645286808978e+03       1.083487120917e+00       5.568691342908e-03      -4.027237145938e+01       8.555543054310e-08       2.857164514644e-04      -1.843260408352e-06 
  131       3.679388129245e+03       1.088085573837e+00       5.658940086666e-03      -4.069977378191e+01       8.503902546060e-08       2.832802467777e-04      -1.833364618235e-06 
  132       3.713486242186e+03       1.092212855204e+00       5.750085951393e-03      -4.111150751871e+01       8.452532882468e-08       2.808867912046e-04      -1.823801569342e-06 
  133       3.747574079925e+03       1.095865499487e+00       5.842135198900e-03      -4.150709199991e+01       8.401566323879e-08       2.785367101430e-04      -1.814515971249e-06 
  134       3.781644116393e+03       1.099040555951e+00       5.935094160114e-03      -4.188605144959e+01       8.351113482327e-08       2.762299025999e-04      -1.805442853638e-06 
  135       3.815688355719e+03       1.101735601192e+00       6.028969235052e-03      -4.224791526234e+01       8.301260916399e-08       2.739654991172e-04      -1.796507116405e-06 
  136       3.849698320626e+03       1.103948751672e+00       6.123766892791e-03      -4.259221827990e+01       8.252068631524e-08       2.717418189342e-04      -1.787623072264e-06 
  137       3.883665040822e+03       1.105678676258e+00       6.219493671439e-03      -4.291850106773e+01       8.203567484267e-08       2.695563263880e-04      -1.778693981867e-06 
  138       3.917579041396e+03       1.106924608755e+00       6.316156178107e-03      -4.322631019161e+01       8.155756489180e-08       2.674055865503e-04      -1.769611581419e-06 
  139       3.951430331208e+03       1.107686360440e+00       6.413761088878e-03      -4.351519849426e+01       8.108600026791e-08       2.652852201019e-04      -1.760255602807e-06 
  140       3.985208391284e+03       1.107964332601e+00       6.512315148778e-03      -4.378472537193e+01       8.062024951288e-08       2.631898574443e-04      -1.750493286233e-06 
  141       4.018902163208e+03       1.107759529070e+00       6.611825171752e-03      -4.403445705099e+01       8.015917596472e-08       2.611130920483e-04      -1.740178885353e-06 
  142       4.052500037517e+03       1.107073568760e+00       6.712298040627e-03      -4.426396686455e+01       7.970120678543e-08       2.590474330402e-04      -1.729153164920e-06 
  143       4.085989842093e+03       1.105908698199e+00       6.813740707091e-03      -4.447283552906e+01       7.924430094290e-08       2.569842570246e-04      -1.717242890934e-06 
  144       4.119359818600e+03       1.104267891173e+00       6.916159636152e-03      -4.466065517223e+01       7.878662061093e-08       2.549161026278e-04      -1.704300087071e-06 
  145       4.152601684800e+03       1.102155132260e+00       7.019559077882e-03      -4.482704128052e+01       7.832876808962e-08       2.528440431779e-04      -1.690327483081e-06 
  146       4.185707853484e+03       1.099575185209e+00       7.123942624443e-03      -4.497162246081e+01       7.787192407777e-08       2.507713099821e-04      -1.675370612742e-06 
  147       4.218670465658e+03       1.096533521262e+00       7.229313747100e-03      -4.509403709036e+01       7.741717001960e-08       2.487010345483e-04      -1.659479824289e-06 
  148       4.251481384615e+03       1.093036332192e+00       7.335675793004e-03      -4.519393361495e+01       7.696547629595e-08       2.466362381173e-04      -1.642710437834e-06 
  149       4.284132190008e+03       1.089090543339e+00       7.443031981961e-03      -4.527097084702e+01       7.651768997581e-08       2.445798209924e-04      -1.625122904788e-06 
  150       4.316614171920e+03       1.084703826645e+00       7.551385403221e-03      -4.532481826390e+01       7.607452212195e-08       2.425345516645e-04      -1.606782969273e-06 
  151       4.348918324936e+03       1.079884613690e+00       7.660739012249e-03      -4.535515630589e+01       7.563653464452e-08       2.405030557345e-04      -1.587761831544e-06 
  152       4.381035342214e+03       1.074642108732e+00       7.771095627507e-03      -4.536167667446e+01       7.520412669632e-08       2.384878046314e-04      -1.568136313393e-06 
  153       4.412955609559e+03       1.068986301737e+00       7.882457927230e-03      -4.534408263041e+01       7.477752060377e-08       2.364911041273e-04      -1.547989025563e-06 
  154       4.444669199491e+03       1.062927981420e+00       7.994828446207e-03      -4.530208929203e+01       7.435674732712e-08       2.345150826489e-04      -1.527408537154e-06 
  155       4.476165865318e+03       1.056478748280e+00       8.108209572559e-03      -4.523542393323e+01       7.394163144403e-08       2.325616793847e-04      -1.506489547026e-06 
  156       4.507435035211e+03       1.049651027633e+00       8.222603544517e-03      -4.514382628176e+01       7.353177565000e-08       2.306326321897e-04      -1.485333057202e-06 
  157       4.538465806268e+03       1.042458082653e+00       8.338012447198e-03      -4.502704881730e+01       7.312654476979e-08       2.287294652855e-04      -1.464046548264e-06 
  158       4.569246938593e+03       1.034914027405e+00       8.454438209388e-03      -4.488485706967e+01       7.272504927343e-08       2.268534767578e-04      -1.442744156755e-06 
  159       4.599766849365e+03       1.027033839882e+00       8.571882600318e-03      -4.471702991698e+01       7.232612829072e-08       2.250057258495e-04      -1.421546854567e-06 
  160       4.630013606905e+03       1.018833375041e+00       8.690347226442e-03      -4.452335988376e+01       7.192833211803e-08       2.231870200506e-04      -1.400582630336e-06 
  161       4.659975760799e+03       1.010329011888e+00       8.809833407773e-03      -4.430365239573e+01       7.153038145075e-08       2.213980050691e-04      -1.379962225554e-06 
  162       4.689644927165e+03       1.001536532292e+00       8.930341801357e-03      -4.405772284402e+01       7.113267601897e-08       2.196394761801e-04      -1.359702322513e-06 
  163       4.719013421743e+03       9.924721674761e-01       9.051872738190e-03      -4.378539982990e+01       7.073601684508e-08       2.179120830717e-04      -1.339792523416e-06 
  164       4.748073442340e+03       9.831529663091e-01       9.174426336922e-03      -4.348652647596e+01       7.034114612624e-08       2.162162182595e-04      -1.320218748358e-06 
  165       4.776817066757e+03       9.735968066612e-01       9.298002500079e-03      -4.316096071939e+01       6.994874094426e-08       2.145520046164e-04      -1.300963080903e-06 
  166       4.805236250700e+03       9.638224067554e-01       9.422600910289e-03      -4.280857560541e+01       6.955940676545e-08       2.129192827174e-04      -1.282003611490e-06 
  167       4.833322825703e+03       9.538493365197e-01       9.548221026505e-03      -4.242925958058e+01       6.917367072799e-08       2.113175979971e-04      -1.263314278649e-06 
  168       4.861068497045e+03       9.436980289402e-01       9.674862080233e-03      -4.202291678618e+01       6.879197471404e-08       2.097461877226e-04      -1.244864708044e-06 
  169       4.888464841665e+03       9.333897914130e-01       9.802523071750e-03      -4.158946735156e+01       6.841466820409e-08       2.082039677794e-04      -1.226620049328e-06 
  170       4.915503306083e+03       9.229468170968e-01       9.931202766334e-03      -4.112884768752e+01       6.804200091071e-08       2.066895192721e-04      -1.208540810818e-06 
  171       4.942175204320e+03       9.123921962654e-01       1.006089969049e-02      -4.064101077964e+01       6.767411518927e-08       2.052010749387e-04      -1.190582691993e-06 
  172       4.968471715811e+03       9.017499276600e-01       1.019161212815e-02      -4.012592648166e+01       6.731103822282e-08       2.037365053790e-04      -1.172696413805e-06 
